property,property_floor,scheduled_date,completed_date,status,disposition,service_type,price,title,description,flags,assignees,task_tags,reason
10th Mountain Home,2,2026-05-09,2026-05-09,finished,billable,regular,50,Biweekly Hot Tub Service **see notes,Bi-Monthly Hot Tub Service,,Jonah Buchanan-Caldwell,Hot Tub Service; Vacancy HT; Billed via PMS,owner-billable hot-tub service
10th Mountain Home,2,2026-05-22,2026-05-22,finished,billable,wwm,250,WWM Arrival Hot Tub Service,Bi-Monthly Hot Tub Service,,Jonah Buchanan-Caldwell,Hot Tub Service; Arrival HT; Billed via PMS,owner-billable hot-tub service
10th Mountain Home,2,2026-05-18,2026-05-18,finished,review,non_service?,,Hot Tub Not Heating,Owner states the water is cold and tub has an error code/flashing red light.  Please investigate.  Start by washing filters in case the tub has a flow error.,,Calder McCarron,,mentions a hot tub but title is not a service — confirm
10th Mountain Home,2,2026-05-21,2026-05-22,finished,review,non_service?,,Owner Departure Clean * See Notes,"Please confirm the cleaning is complete and up to company standards. Should you identify any issues, please report an issue immediately. 

From Owner - Hi, Plea",,P&E home management llc; P&E Home Mngt,Invoiced HK,mentions a hot tub but title is not a service — confirm
10th Mountain Home,2,2026-05-27,2026-05-28,finished,review,non_service?,,Hot tub filters,"Install filters from Deliverables.

Tub was in protection mode when I first arrived tried cleaning filters but there still pretty dirty checked warehouse and we",,Rich Fox,Order Parts,mentions a hot tub but title is not a service — confirm
Above the Pines at Tahoe Donner,2,2026-05-12,2026-05-12,finished,billable,dump_scrub,155,D&s needed hot tub service,Bi-Monthly Hot Tub Service,,Andy Rosman,Hot Tub Service; Vacancy HT; Billed via PMS,owner-billable hot-tub service
Above the Pines at Tahoe Donner,2,2026-05-21,2026-05-21,finished,billable,regular,50,Arrival Hot Tub Service for 5/21 PRI Done,Bi-Monthly Hot Tub Service,,Trevor Bales,Hot Tub Service; Arrival HT; Billed via PMS,owner-billable hot-tub service
Agatam Retreat,2,2026-05-07,2026-05-07,finished,billable,dump_scrub,155,Hot Tub Service - D&S*,Hot Tub Dump & Scrub Service - Water change unless TDS is less than 400 and water quality is perfect.,,Irving Pantoja,Hot Tub Service; Billed via PMS,owner-billable hot-tub service
Agatam Retreat,2,2026-05-21,2026-05-21,finished,billable,regular,50,Biweekly Hot Tub Service,Bi-Monthly Hot Tub Service,,Irving Pantoja,Hot Tub Service; Vacancy HT; Billed via PMS,owner-billable hot-tub service
Agatam Retreat,2,2026-05-23,2026-05-23,finished,billable,regular,50,Arrival Hot Tub Service,Bi-Monthly Hot Tub Service,,Alec Carlson,Hot Tub Service; Arrival HT; Billed via PMS,owner-billable hot-tub service
Agatam Retreat,2,2026-05-01,2026-05-02,finished,excluded,lease_tenant,,Lease Hot Tub Service,PREPAID Bi-Monthly Hot Tub Service,,Julie Rohrback,Lease Hot Tub Service,lease/prepaid service — billed to tenant
Agatam Retreat,2,2026-05-03,2026-06-01,closed,excluded,lease_tenant,,Lease Issue 5/3 - HT Not Heating,"Tenant reported again that the hot tub is not heating, had them try unlocking the control panel from the notes we have the last time this happened but that did ",BOUNDARY: scheduled 2026-05-03 but completed 2026-06-01 — confirm month,Calder McCarron,Lease Issue,lease/prepaid service — billed to tenant
Allure At Schaffer's Mill,2,2026-05-09,2026-05-10,approved,billable,regular,50,Biweekly Hot Tub Service,Bi-Monthly Hot Tub Service,,Julie Rohrback,Hot Tub Service; Vacancy HT; Billed via PMS,owner-billable hot-tub service
Allure At Schaffer's Mill,2,2026-05-22,2026-05-23,finished,billable,regular,50,Biweekly Hot Tub Service,Bi-Monthly Hot Tub Service,,Irving Pantoja,Hot Tub Service; Vacancy HT; Billed via PMS,owner-billable hot-tub service
Alpen Glow Lodge,2,2026-05-07,2026-05-07,finished,billable,regular,50,Biweekly Hot Tub Service,Bi-Monthly Hot Tub Service,,Irving Pantoja,Hot Tub Service; Vacancy HT; Billed via PMS,owner-billable hot-tub service
Alpen Glow Lodge,2,2026-05-18,2026-05-18,finished,billable,regular,50,Arrival Hot Tub Service for 5/22 No PRI,Bi-Monthly Hot Tub Service,,Trevor Bales,Hot Tub Service; Arrival HT; Billed via PMS,owner-billable hot-tub service
Alpine Adventure,2,2026-05-08,2026-05-08,finished,billable,regular,50,Biweekly Hot Tub Service,Bi-Monthly Hot Tub Service,,Jeremy  Neifert,Hot Tub Service; Vacancy HT; Billed via PMS,owner-billable hot-tub service
Alpine Adventure,2,2026-05-24,2026-05-24,finished,billable,regular,50,Biweekly Hot Tub Service,Bi-Monthly Hot Tub Service,,Calder McCarron,Hot Tub Service; Vacancy HT; Billed via PMS,owner-billable hot-tub service
Alpine Darling,2,2026-05-12,2026-05-12,finished,billable,dump_scrub,155,Hot Tub Service - D&S,Hot Tub Dump & Scrub Service - Water change unless TDS is less than 400 and water quality is perfect.,,Brittany Fristoe,Hot Tub Service; Billed via PMS,owner-billable hot-tub service
Alpine Darling,2,2026-05-22,2026-05-22,finished,billable,regular,50,Arrival Hot Tub Service,Bi-Monthly Hot Tub Service,,Calder McCarron,Hot Tub Service; Arrival HT; Billed via PMS,owner-billable hot-tub service
Alpine Darling,2,2026-05-27,2026-05-27,finished,billable,regular,50,Arrival Hot Tub Service,Bi-Monthly Hot Tub Service,,Andy Rosman,Hot Tub Service; Arrival HT; Billed via PMS,owner-billable hot-tub service
Arcadia Manor on the West Shore,2,2026-04-30,2026-05-02,finished,billable,regular,50,Biweekly Hot Tub Service,Bi-Monthly Hot Tub Service,BOUNDARY: scheduled 2026-04-30 but completed 2026-05-02 — confirm month | shows here by COMPLETED date (2026-05-02); scheduled 2026-04-30,Jonah Buchanan-Caldwell,Hot Tub Service; Vacancy HT; Billed via PMS,owner-billable hot-tub service
Arcadia Manor on the West Shore,2,2026-05-14,2026-05-14,finished,billable,regular,50,Biweekly Hot Tub Service,Bi-Monthly Hot Tub Service,,Jonah Buchanan-Caldwell,Hot Tub Service; Vacancy HT; Billed via PMS,owner-billable hot-tub service
Arcadia Manor on the West Shore,2,2026-05-18,2026-05-18,finished,billable,regular,50,Arrival Hot Tub Service for 5/21 PRI Done,Bi-Monthly Hot Tub Service,,Calder McCarron,Hot Tub Service; Vacancy HT; Billed via PMS,owner-billable hot-tub service
Aspen Heights at Alpine Meadows,2,2026-05-01,2026-05-01,finished,billable,regular,50,Biweekly Hot Tub Service,Bi-Monthly Hot Tub Service,,Andy Rosman,Hot Tub Service; Vacancy HT; Billed via PMS,owner-billable hot-tub service
Aspen Heights at Alpine Meadows,2,2026-05-15,2026-05-26,closed,billable,regular,50,Biweekly Hot Tub Service,Bi-Monthly Hot Tub Service,,Jonah Buchanan-Caldwell,Hot Tub Service; Vacancy HT; Billed via PMS,owner-billable hot-tub service
Aspen Heights at Alpine Meadows,2,2026-05-29,2026-05-30,finished,billable,regular,50,Biweekly Hot Tub Service,Bi-Monthly Hot Tub Service,,Andy Rosman,Hot Tub Service; Vacancy HT; Billed via PMS,owner-billable hot-tub service
